id,title,odometer,location,isimported,engine,transmission,fuel,paint,year,target,brand
29,Honda CR-V,97488,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2010,4015000,Honda
30,Toyota Camry,192404,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2009,3115000,Toyota
31,Hyundai Tucson,67393,Lagos,Locally used,4-cylinder(I4),automatic,petrol,brown,2012,2515000,Hyundai
32,Toyota RAV 4,77858,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2008,3315000,Toyota
33,Ford Transit,323208,Lagos,Foreign Used,4-cylinder(I4),manual,diesel,silver,2004,2215000,Ford
34,Honda CR-V,184923,Lagos,Locally used,4-cylinder(I4),automatic,petrol,gold,2008,1565000,Honda
35,Jaguar XJ8,111271,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,gold,1998,3815000,Jaguar
36,BMW X6,59125,Lagos ,Locally used,4-cylinder(I4),automatic,petrol,white,2008,7015000,BMW
37,Toyota Camry,72441,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2010,3535000,Toyota
38,Toyota Sienna,53192,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,gold,2011,6015000,Toyota
39,Toyota Corolla,29907,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2016,4415000,Toyota
40,Mercedes-Benz C 300,56125,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2016,14865000,Mercedes-Benz
41,Mitsubishi Galant,149158,Lagos,Locally used,4-cylinder(I4),automatic,petrol,red,2005,1315000,Mitsubishi
42,Toyota Corolla,235765,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2005,2215000,Toyota
43,Mercedes-Benz GL 450,69124,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,grey,2016,18015000,Mercedes-Benz
44,Lexus RX 300,204177,Lagos,Locally used,6-cylinder(V6),automatic,petrol,milk,2000,1515000,Lexus
45,Toyota Camry,34556,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2018,13515000,Toyota
46,Honda Accord,745932,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2014,5515000,Honda
47,Toyota Corolla,13256,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2009,3585000,Toyota
48,Honda Accord,149232,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2015,4965000,Honda
49,Land Rover Range Rover Sport,32646,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,white,2014,24015000,Land
50,Toyota Highlander,143899,Lagos,Locally used,6-cylinder(V6),automatic,petrol,green,2001,1715000,Toyota
51,Toyota Highlander,187342,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2010,5565000,Toyota
52,Mitsubishi CANTER PICK UP,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,green,2006,5535000,Mitsubishi
53,Nissan Titan,111031,Ogun,Foreign Used,8-cylinder(V8),automatic,petrol,white,2009,4215000,Nissan
54,Lexus IS 250,145184,Lagos,Locally used,6-cylinder(I6),automatic,petrol,red,2006,2655000,Lexus
55,Mercedes-Benz 200,200174,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2006,3665000,Mercedes-Benz
56,Toyota Camry,74980,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2014,4965000,Toyota
57,Toyota Camry,94133,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2010,3535000,Toyota
58,Toyota Venza,60254,Lagos,Locally used,6-cylinder(I6),automatic,petrol,brown,2013,4365000,Toyota
59,Toyota Corolla,36962,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,beige,2017,9215000,Toyota
60,Toyota Corolla,105667,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2008,2515000,Toyota
61,Toyota Sequoia,195136,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,silver,2002,2215000,Toyota
62,Mercedes-Benz GL 450,57685,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,white,2014,13215000,Mercedes-Benz
63,Ford Explorer,6370,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2018,15765000,Ford
64,Toyota Tacoma,15041,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,blue,2018,18515000,Toyota
65,Toyota Corolla,113085,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,grey,2014,5790000,Toyota
66,Toyota Camry,180027,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2004,2015000,Toyota
67,Toyota RAV 4,60618,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2006,2325000,Toyota
68,Volvo XC90,174865,Ogun,Locally used,4-cylinder(I4),automatic,petrol,silver,2007,1800000,Volvo
69,Hyundai ix35,44586,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2015,5215000,Hyundai
70,Mack CH613 CONVENTIONAL CAB,768456,Lagos,Locally used,6-cylinder(V6),manual,diesel,red,1995,8015000,Mack
71,Toyota Camry,198487,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2003,1815000,Toyota
72,Lexus CT 200h,208761,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2015,9930000,Lexus
73,Lexus ES 350,122000,Lagos,Locally used,6-cylinder(V6),automatic,petrol,blue,2007,2765000,Lexus
74,Toyota Sienna,135246,Lagos,Locally used,6-cylinder(V6),automatic,petrol,gold,2006,1885000,Toyota
75,Lexus LX 570,23568,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2018,48015000,Lexus
76,Toyota RAV 4,171173,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2007,3315000,Toyota
77,Toyota Camry,36744,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2014,4215000,Toyota
78,Lexus RX 300,170040,Lagos,Locally used,6-cylinder(V6),automatic,petrol,gold,1999,1115000,Lexus
79,Toyota Avensis,153606,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2003,2215000,Toyota
80,Toyota Camry,151948,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,green,2007,2505000,Toyota
81,Toyota 4-Runner,73923,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2016,15015000,Toyota
82,Toyota Corolla,65098,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2017,7890000,Toyota
83,Mercedes-Benz GLE 350,42345,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,blue,2016,14865000,Mercedes-Benz
84,Mercedes-Benz E 300,39979,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,brown,2016,19440000,Mercedes-Benz
85,Toyota Corolla,35253,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2016,6285000,Toyota
86,Toyota Avalon,76472,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2015,8940000,Toyota
87,Chevrolet Camaro,23821,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2015,10515000,Chevrolet
88,Toyota Corolla,48426,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,black,2008,2915000,Toyota
89,Mack CXN613 CAB BEHIND ENGINE,678345,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,2006,10515000,Mack
90,Land Rover Range Rover,77805,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2016,29015000,Land
91,Toyota Corolla,85827,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,ash,2004,2325000,Toyota
92,Lexus LX 570,13247,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2018,52515000,Lexus
93,Mazda CX-9,131166,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,white,2007,3690000,Mazda
94,Toyota Tacoma,79268,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2013,10015000,Toyota
95,Lexus ES 350,85632,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,black,2012,5715000,Lexus
96,Lexus RX 350,13572,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2012,7715000,Lexus
97,Lexus RX 330,163962,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2005,3415000,Lexus
98,Lincoln Mark,120123,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,white,2007,4415000,Lincoln
99,Kia Optima,103080,Ogun,Locally used,4-cylinder(I4),automatic,petrol,white,2009,1170000,Kia
100,Volkswagen LT,161966,Lagos,Locally used,6-cylinder(V6),manual,petrol,orange,1985,1915000,Volkswagen
101,Toyota Highlander,64327,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2016,14865000,Toyota
102,Lexus GS 300,67968,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2006,3690000,Lexus
103,Jaguar X-Type,264064,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,blue,2003,2325000,Jaguar
104,Toyota Corolla,7051,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2017,7215000,Toyota
105,Lexus RX 350,119058,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2009,4615000,Lexus
106,Toyota 4-Runner,63440,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2012,8940000,Toyota
107,Honda CR-V,108031,Lagos,Locally used,4-cylinder(I4),automatic,petrol,gold,2007,1830000,Honda
108,Toyota Corolla,40247,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2017,8940000,Toyota
109,Toyota Land Cruiser,151511,Lagos,Locally used,4-cylinder(I4),automatic,petrol,cream,2008,11015000,Toyota
110,Lexus GX 460,76794,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2014,28890000,Lexus
111,Mercedes-Benz 709 DB,510053,Lagos,Locally used,4-cylinder(I4),manual,diesel,blue,2001,1715000,Mercedes-Benz
112,Nissan Altima,270050,Lagos,Locally used,4-cylinder(I4),automatic,petrol,gold,2000,510000,Nissan
113,Mercedes-Benz GL 450,100205,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,grey,2008,5295000,Mercedes-Benz
114,Toyota Camry,70987,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2012,4015000,Toyota
115,Kia Optima,205341,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2001,1265000,Kia
116,Toyota Camry,189000,Lagos,Locally used,4-cylinder(I4),automatic,petrol,grey,2005,1423000,Toyota
117,Acura MDX,51645,Lagos,Locally used,4-cylinder(I4),automatic,petrol,grey,2016,9465000,Acura
118,Toyota Corolla,264893,Abuja,Locally used,4-cylinder(I4),automatic,petrol,grey,2007,1915000,Toyota
119,DAF 95XF TRACTOR HEAD,195964,Lagos,Locally used,6-cylinder(V6),manual,diesel,blue,1999,7015000,DAF
120,Toyota Highlander,208969,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2008,2600000,Toyota
121,Man TGA 18.360,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,2004,8515000,Man
122,Toyota Camry,177120,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2013,5735000,Toyota
123,Nissan Pathfinder,176931,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,red,2006,2815000,Nissan
124,Mercedes-Benz E 350,42009,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2014,11015000,Mercedes-Benz
125,Ford Explorer,58159,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2016,14015000,Ford
126,Honda Crosstour,225417,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2010,5015000,Honda
127,Toyota Camry,317083,Lagos State,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2007,3270000,Toyota
128,Toyota Sienna,186573,Lagos,Locally used,6-cylinder(I6),automatic,petrol,gold,2000,965000,Toyota
129,Toyota Sienna,90128,Abuja,Locally used,6-cylinder(V6),automatic,petrol,white,2006,1800000,Toyota
130,Toyota Highlander,85233,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2010,5790000,Toyota
131,Honda Pilot,161765,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2008,3975000,Honda
132,Lexus LS 460,40566,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2011,4915000,Lexus
133,Toyota Camry,152661,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,red,2018,15515000,Toyota
134,Nissan Cabstar,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,2006,3015000,Nissan
135,Toyota Camry,86820,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2010,3315000,Toyota
136,Kia Sorento,80574,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2014,2815000,Kia
137,Mercedes-Benz CLA 250,52801,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2014,9915000,Mercedes-Benz
138,Mitsubishi Pajero,69887,Ogun,Locally used,6-cylinder(I6),automatic,petrol,black,2016,2215000,Mitsubishi
139,Toyota Camry,10212,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2018,11015000,Toyota
140,Toyota Sienna,203354,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,grey,2007,2215000,Toyota
141,Honda Accord,94035,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2007,1855000,Honda
142,Toyota Corolla,186151,Abuja,Foreign Used,4-cylinder(I4),manual,petrol,silver,2004,1665000,Toyota
143,Mercedes-Benz C 350,209076,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2008,4305000,Mercedes-Benz
144,Lexus ES 350,88443,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2007,3615000,Lexus
145,Mercedes-Benz E 350,4500,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,7490000,Mercedes-Benz
146,Lexus RX 350,2584,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2018,24015000,Lexus
147,Toyota Camry,105285,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2007,1285000,Toyota
148,Toyota Camry,26650,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2014,5575000,Toyota
149,Toyota Camry,85759,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2011,4320000,Toyota
150,Lexus GS 350,90928,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2008,3815000,Lexus
151,Lexus RX 350,22051,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2016,14315000,Lexus
152,Toyota Venza,76163,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2013,8485000,Toyota
153,Toyota Camry,87597,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2017,8815000,Toyota
154,Toyota Corolla,47385,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2017,7015000,Toyota
155,Toyota Corolla,63429,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2014,5790000,Toyota
156,Mercedes-Benz E 320,153224,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,silver,2005,1665000,Mercedes-Benz
157,Lexus RX 350,51865,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2016,15975000,Lexus
158,Lexus GS 300,233102,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2006,3755000,Lexus
159,Toyota Yaris,99268,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2007,1815000,Toyota
160,Toyota Highlander,97532,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2008,4855000,Toyota
161,Lexus LX 570,82520,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2016,47015000,Lexus
162,Toyota Matrix,102610,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2003,2160000,Toyota
163,Toyota Camry,84266,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2008,3165000,Toyota
164,Toyota Corolla,101,Abuja,New ,4-cylinder(I4),automatic,petrol,grey,2018,8215000,Toyota
165,Toyota Highlander,77446,Lagos State,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2015,15515000,Toyota
166,Toyota Highlander,225602,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2005,3375000,Toyota
167,Isuzu NQR,173376,Lagos,Locally used,4-cylinder(I4),manual,diesel,red,2001,5015000,Isuzu
168,Toyota Highlander,117497,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,purple,2011,5955000,Toyota
169,Honda Accord,18506,Lagos ,Foreign Used,4-cylinder(I4),automatic,petrol,red,2019,13665000,Honda
170,Lexus RX 300,155558,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,1999,1015000,Lexus
171,Toyota Camry,164217,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2006,2105000,Toyota
172,Toyota Avalon,155510,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2007,2615000,Toyota
173,Lexus ES 350,76897,Lagos,Locally used,6-cylinder(V6),automatic,petrol,silver,2009,3315000,Lexus
174,Mercedes-Benz E 350,141032,Ogun,Foreign Used,6-cylinder(V6),automatic,petrol,black,2012,5790000,Mercedes-Benz
175,Toyota Corolla,164164,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2017,7680000,Toyota
176,IVM LT35,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,blue,2003,2890000,IVM
177,Toyota 4-Runner,52421,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2015,15515000,Toyota
178,Hyundai Elantra,35356,Lagos,Locally used,4-cylinder(I4),automatic,petrol,cream,2016,3115000,Hyundai
179,Porsche Cayenne,115556,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,blue,2005,5515000,Porsche
180,Toyota Camry,164216,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,brown,2006,2050000,Toyota
181,Mercedes-Benz E 350,35168,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,white,2012,7515000,Mercedes-Benz
182,Toyota Highlander,110421,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2011,7495000,Toyota
183,Toyota Sienna,17881,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,green,2005,2665000,Toyota
184,Honda CR-V,27079,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2018,15215000,Honda
185,Toyota Corolla,143258,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2005,2215000,Toyota
186,Toyota Camry,78308,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2010,2915000,Toyota
187,Toyota RAV 4,111719,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2017,9365000,Toyota
188,Toyota Sienna,134183,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,silver,2005,2655000,Toyota
189,Lexus RX 330,366719,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,1999,1665000,Lexus
190,Toyota Sienna,987322,Lagos,Locally used,6-cylinder(V6),automatic,petrol,gold,2000,765000,Toyota
191,Honda Accord,102257,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2008,1015000,Honda
192,Toyota 4-Runner,12042,Lagos State,Foreign Used,6-cylinder(V6),automatic,petrol,blue,2017,17815000,Toyota
193,Mercedes-Benz ML 350,92364,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2006,3865000,Mercedes-Benz
194,Land Rover Range Rover,143754,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2008,5055000,Land
195,Toyota Tacoma,55669,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2017,16815000,Toyota
196,Toyota Highlander,102908,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,gold,2008,4715000,Toyota
197,Toyota Camry,302009,Ogun,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2011,3590000,Toyota
198,Hyundai Elantra,89606,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2010,2315000,Hyundai
199,Toyota Corolla,85485,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,yellow,2010,3205000,Toyota
200,Toyota Sienna,424963,Lagos ,Locally used,6-cylinder(I6),automatic,petrol,grey,1998,1170000,Toyota
201,Lexus RX 300,201579,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2000,1665000,Lexus
202,Lexus ES 350,118276,Ogun,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2007,3215000,Lexus
203,Toyota Corolla,128628,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2003,2215000,Toyota
204,Toyota Corolla,187230,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2006,2465000,Toyota
205,Honda Accord,65995,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2017,8265000,Honda
206,Toyota Sienna,89361,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2014,7015000,Toyota
207,Honda Pilot,33562,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2007,2660000,Honda
208,Toyota Highlander,382816,Lagos,Locally used,6-cylinder(V6),automatic,petrol,gold,2002,1775000,Toyota
209,Toyota Camry,240005,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2006,1115000,Toyota
210,Toyota Prado,136384,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2010,7890000,Toyota
211,Hyundai Sonata,163969,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2011,3315000,Hyundai
212,Lexus RX 350,116298,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2007,4015000,Lexus
213,Mazda CX-9,96159,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2008,3315000,Mazda
214,Mercedes-Benz C 300,100030,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2009,3465000,Mercedes-Benz
215,MINI Cooper,156988,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,green,2009,3015000,MINI
216,Mercedes-Benz GLE 350,693,Lagos,New ,4-cylinder(I4),automatic,petrol,blue,2020,56515000,Mercedes-Benz
217,Toyota Venza,142724,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2011,7515000,Toyota
218,Toyota Hiace,78514,Abuja,Locally used,4-cylinder(I4),manual,petrol,white,2008,3765000,Toyota
219,Mercedes-Benz 350,175106,Lagos,Locally used,6-cylinder(V6),automatic,petrol,white,2008,2985000,Mercedes-Benz
220,Toyota RAV 4,113463,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2008,3715000,Toyota
221,Toyota Corolla,104132,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2016,5790000,Toyota
222,Toyota Corolla,152878,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2010,2115000,Toyota
223,Honda Odyssey,78246,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,silver,2015,6175000,Honda
224,Mercedes-Benz E 550,147490,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,grey,2010,7730000,Mercedes-Benz
225,Dodge Charger,700000,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,black,2007,3815000,Dodge
226,Toyota Hiace,84789,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,1994,3975000,Toyota
227,Toyota Tacoma,105449,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,gold,2006,6000000,Toyota
228,Hyundai Sonata,32950,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2016,9015000,Hyundai
229,Ford Escape,105271,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2011,2665000,Ford
230,GMC Terrain,54418,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2012,5515000,GMC
231,Toyota Avalon,112725,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,white,2010,4195000,Toyota
232,Lexus RX 350,9843,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,gold,2016,16015000,Lexus
233,Toyota Avalon,201448,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,6815000,Toyota
234,Honda Pilot,105357,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2007,2615000,Honda
235,Ford Explorer,108597,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,black,2013,8015000,Ford
236,Toyota Corolla,51658,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2016,5790500,Toyota
